header_seq,header_stamp,header_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w
120139,1756792692.5595126,world,-0.10072103142738342,-0.2660254240036011,1.1785569190979004,0.0006417334079742432,0.003131252247840166,0.0007425846997648478,0.9999946355819702
120140,1756792692.5623586,world,-0.10066389292478561,-0.2658981680870056,1.1786121129989624,0.0007178783416748047,0.003178008832037449,0.00090088474098593,0.9999942779541016
120141,1756792692.565048,world,-0.10070820152759552,-0.26599714159965515,1.1785595417022705,0.0006816685199737549,0.003207744099199772,0.0007320981239899993,0.9999943971633911
120142,1756792692.5676882,world,-0.10066962242126465,-0.2659064829349518,1.1786270141601562,0.000674813985824585,0.0032188636250793934,0.0008913553319871426,0.999994158744812
120143,1756792692.5705986,world,-0.10069410502910614,-0.2660224437713623,1.1785874366760254,0.0006552934646606445,0.0031885316129773855,0.0007359127048403025,0.9999943971633911
120144,1756792692.5732594,world,-0.10066867619752884,-0.26600122451782227,1.1786202192306519,0.0006119310855865479,0.0031228712759912014,0.0008198256837204099,0.9999946355819702
120145,1756792692.576028,world,-0.10068179666996002,-0.2659685015678406,1.178613305091858,0.0006988942623138428,0.003179255872964859,0.0007874079747125506,0.9999943971633911
120146,1756792692.578856,world,-0.10069999098777771,-0.2660365104675293,1.1785811185836792,0.0006360709667205811,0.0031238130759447813,0.000747353071346879,0.9999946355819702
120147,1756792692.5817432,world,-0.10067199170589447,-0.2659083902835846,1.1786432266235352,0.0006970465183258057,0.0032059522345662117,0.0008474934147670865,0.9999942779541016
120148,1756792692.5844798,world,-0.10071214288473129,-0.2660199999809265,1.1785882711410522,0.0006196200847625732,0.0031850787345319986,0.0007196967490017414,0.9999945163726807
120149,1756792692.5871828,world,-0.10067033767700195,-0.2659073770046234,1.1786547899246216,0.0006649196147918701,0.003223599400371313,0.0008474822388961911,0.999994158744812
120150,1756792692.590264,world,-0.10074350237846375,-0.2660396993160248,1.1785788536071777,0.0006388723850250244,0.0032379841431975365,0.0007187427254393697,0.9999942779541016
120151,1756792692.593125,world,-0.10068663954734802,-0.2659476697444916,1.1786417961120605,0.0006340146064758301,0.0032270923256874084,0.0008207829669117928,0.9999942183494568
120152,1756792692.5956724,world,-0.10073769092559814,-0.26600199937820435,1.1785999536514282,0.0006225407123565674,0.0033111702650785446,0.000727322418242693,0.9999940395355225
120153,1756792692.598341,world,-0.10070458799600601,-0.2659832835197449,1.178623914718628,0.0005523562431335449,0.0032651592046022415,0.0007845506770536304,0.9999942183494568
120154,1756792692.6012535,world,-0.10070180147886276,-0.26593565940856934,1.1786320209503174,0.000571519136428833,0.003348054364323616,0.0007883580401539803,0.9999939203262329
120155,1756792692.6039896,world,-0.10071953386068344,-0.2659945785999298,1.1786048412322998,0.0004878044128417969,0.003329407423734665,0.0007626012666150928,0.9999940395355225
120156,1756792692.6066802,world,-0.10070782154798508,-0.2659117877483368,1.178635597229004,0.0005523264408111572,0.003402187954634428,0.0007997987559065223,0.9999938011169434
120157,1756792692.6097345,world,-0.10075435042381287,-0.2660259008407593,1.1785753965377808,0.0004781782627105713,0.0033708999399095774,0.0007482923101633787,0.9999939203262329
120158,1756792692.6122363,world,-0.10069814324378967,-0.2659161686897278,1.1786271333694458,0.000534355640411377,0.0033975138794630766,0.0008465365972369909,0.9999937415122986
120159,1756792692.6151004,world,-0.10075097531080246,-0.2660178542137146,1.1785738468170166,0.0004698634147644043,0.0034324745647609234,0.0007454465376213193,0.9999937415122986
120160,1756792692.6178398,world,-0.10070349276065826,-0.2659268081188202,1.1786177158355713,0.00047093629837036133,0.003417112398892641,0.0008017099462449551,0.9999937415122986
