header_stamp,t,header_seq,header_frame,pose_pos_x,pose_pos_y,pose_pos_z,pose_quat_x,pose_quat_y,pose_quat_z,pose_quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,acc_lin_x,acc_lin_y,acc_lin_z,acc_ang_x,acc_ang_y,acc_ang_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
1755403363.6790466,1755403363.6790466,17389,world,-0.14385816629068335,0.5925316872353628,0.10760046218757574,-0.00266962566521641,0.03802793106912662,0.11378235976817483,0.992774054940496,-0.0001060106159353659,-0.00024732291412681695,-0.00033602159104899115,-0.006776773566662363,-0.00769586057287352,0.0018768164473372967,-0.006320815424930323,0.0009927661634815971,-0.0012302239389407226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.6890461,1755403363.6890461,17390,world,-0.14386077634160177,0.5925366041397556,0.10759446831872091,-0.002688798516859928,0.03803554396146277,0.11377010058763537,0.9927751165144959,-0.00021900842695892218,5.444877942986909e-05,-0.00046021576101873694,-0.003924461422676307,-0.0023408623565509892,-0.0006555821656736014,-0.006710402455624075,0.0032686483794564574,-0.002120597851487316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.5290785,1755403363.5290785,17374,world,-0.1439499568864247,0.5925824859856434,0.10767384760996608,-0.0026061009098035494,0.03818280909693362,0.11360935288335634,0.9927880923263233,0.0009598851150746031,-0.00016691502543253285,0.0005106601453657496,0.00729553827605929,0.008331411585685088,-0.0018745073543328214,0.003128862586672408,0.0016463680637746636,0.0011650295057707828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.5390644,1755403363.5390644,17375,world,-0.1439404644604273,0.5925879109603727,0.10766392108820405,-0.002583690415747832,0.03820598013644066,0.1136304562797493,0.9927848442796182,0.00096056214341869,9.835750841766862e-05,-4.195111332823554e-05,0.005736278582563259,0.006710097028270822,0.0024513763441343104,0.0028527867618239246,0.0035310503983334678,-0.003168586978085319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.5490813,1755403363.5490813,17376,world,-0.1439401665624672,0.5925839227491997,0.10764841280047165,-0.0025169651617739162,0.0382771488263649,0.11365764722469537,0.9927791617431571,0.0006320247712908311,-7.184819526483862e-05,-0.0006595492532843151,0.011300405572612091,0.011263049158875427,0.0028407869784849273,0.0001034712061605803,0.0019266983540664414,-0.007722657919314902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.5590684,1755403363.5590684,17377,world,-0.1439315198384545,0.5925710791908586,0.10763445835613589,-0.002435344123029544,0.038337181160738136,0.11359873336311746,0.9927837918791517,0.000723556751561993,-0.0005081829767319777,-0.001000862766209957,0.015165202398123735,0.009948695550889333,-0.004708497152279012,0.0008050137033796075,-0.0015685570933884985,-0.009757305205134955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.5690732,1755403363.5690732,17378,world,-0.14392503987981148,0.592564326757781,0.10762171882884101,-0.002355685223396496,0.03828199431951554,0.11365291815541419,0.992779912091702,0.0006493925977407128,-0.0005741201066803897,-0.0011820258750017665,0.014734665172549843,-0.0008767816827313416,0.003970200153242264,7.075788103297386e-05,-0.0019367088192101614,-0.010398110636009277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.579071,1755403363.579071,17379,world,-0.14391354297901815,0.5925543257097405,0.10761741294718274,-0.0023190311609071266,0.038284154711620506,0.11365572965886721,0.9927795932170455,0.0008196343281655501,-0.0007434088262366403,-0.001004540778621521,0.010607209514342976,-0.00024084161000087148,0.0029765217886902322,0.0013380123311951503,-0.003076524411217758,-0.00827455978319417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.589056,1755403363.589056,17380,world,-0.14390080807292066,0.5925532365458098,0.1076183894983294,-0.0023285749854556298,0.038309182978652365,0.11372474804062269,0.9927707015827684,0.0009730420018573083,-0.000517859380250622,-0.0006875538360160767,0.004005846848309167,0.00304257854503185,0.009339003721259781,0.002358471299757837,-0.0010811874604284113,-0.005260142680949569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.599046,1755403363.599046,17381,world,-0.14389183449156284,0.5925586066851535,0.1076150812427027,-0.0023421917323035815,0.03830505346172678,0.11369844885655572,0.9927738411868016,0.0009833239331807763,-0.00014242161058627322,-0.0005551565645094208,0.0004131843681763049,-0.0007947288753109681,0.0014505920085218825,0.002294805231747001,0.0018644797702033953,-0.003755905277872831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.609066,1755403363.609066,17382,world,-0.14388249218994034,0.592554806152413,0.10761727332426611,-0.0024657733512728638,0.038289310006248,0.113669407061967,0.9927774748649401,0.000976785930589729,-0.0002237273332825701,-0.0002960425690358584,-0.01292979776255601,8.255476566526656e-05,-0.003045134923902479,0.002056126716549633,0.0010815307292135839,-0.0014776598545681177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.619048,1755403363.619048,17383,world,-0.1438867308491426,0.5925980864982756,0.10764140018087533,-0.0023741192947106357,0.03817148772537489,0.11384016904363142,0.992762669017386,0.00046883857767303187,0.0014745144721070094,0.0006542459429696555,-0.0005051767242950631,-0.013061580075335453,0.018202045395230657,-0.0020059966712100757,0.014018314952630909,0.005835540060276443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.6290724,1755403363.6290724,17384,world,-0.14386493071519357,0.592560764286923,0.10761484156053254,-0.002593432933257382,0.03827559167750793,0.11371503135457438,0.992772453702955,0.0010666017629163559,-0.0003700353709111792,-0.0005605054219619407,-0.021015305192979165,0.0055686666963254685,-0.004844174517424415,0.002689129324676209,-0.0012473590015049784,-0.003989777129108525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.6390464,1755403363.6390464,17385,world,-0.1438511180589366,0.5925421913856845,0.10760670158780068,-0.002638699131372206,0.038200416992803916,0.11373619205938455,0.9927728058444697,0.0012083081347324203,-0.0009405563054965574,-0.0006946582298224093,-0.01594700393645661,-0.005278543511274979,0.00028523790931920645,0.0035735954394050177,-0.005540414600996989,-0.004727429783411637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403363.6490464,1755403363.6490464,17386,world,-0.14384737841346312,0.5925299011321533,0.10760553253385359,-0.002620906976565322,0.038135022473139824,0.11375312142553241,0.9927734274614431,0.0008795083808062083,-0.0011022447008670506,-0.000516923697726047,-0.006591465488452024,-0.009998862087569177,0.003687958948610062,0.0006832145103419433,-0.006374054498042458,-0.0029986795453727988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
