t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.4,0.00018352968882126116,0.9999999831584265,1.0,0.9999994248834796,4.474001027014567e-07,0.0010724889323616932,-2.396947869400495e-10,0.0022172344891174802,-4.0692836268481305e-07,0.0,1.697918850901784e-05,0.014688628570872097,-7.111331979107734e-10,0.021042269158211134,-8.778010203857961e-06,0.0,0.0002770382973765824,0.0600569332715864,-1.4500172457142774e-08,1.7124876949636971,1.720981024572227,1.7210202070486882,1.7125268707477712,0.14409376926054776,-0.0001664124328728184,0.0,0.589202351406376,-0.002714426645419229,0.0
0.42,0.00023227890011691128,0.9999999730232559,1.0,0.9999992491777915,6.473565285912603e-07,0.0012254156169078853,-3.9559330400802285e-10,0.0026676878723922628,-6.196476215705733e-07,0.0,2.3326851901530808e-05,0.015900730617744645,-1.05720910704155e-09,0.024042708559139855,-1.2701173211056686e-05,0.0,0.0003610381639955235,0.06112425894572466,-2.042574073502598e-08,1.712407491214702,1.7210517621001782,1.7211028253182397,1.7124585450054983,0.15598508055485946,-0.0002286473988528854,0.0,0.5996759437605157,-0.003537926750028204,0.0
0.44,0.00029065318985022813,0.9999999577603608,1.0,0.9999990331633157,9.197583915065023e-07,0.0013905652043751091,-6.369203319926366e-10,0.0031805417677608816,-9.244346492993697e-07,0.0,3.153968531445172e-05,0.01713264466970898,-1.5400417254610272e-09,0.02728296844437789,-1.804572936023758e-05,0.0,0.00046408281377059826,0.06203890130616653,-2.825461730241191e-08,1.7123370141604277,1.7211106332023287,1.7211762709398233,1.7124026388573292,0.16807082832314676,-0.00030917424753613184,0.0,0.608652718289431,-0.004548215425493914,0.0
0.46,0.00035994878168345404,0.9999999352184352,1.0,0.9999987704972138,1.28525120602583e-06,0.0015681206614275816,-1.0025673773958616e-09,0.0037606294898566363,-1.3536340909273002e-06,0.0,4.2027449768861494e-05,0.018381357849707573,-2.2021094554073307e-09,0.03076664086024236,-2.521675252002194e-05,0.0,0.0005891025046665928,0.06280493048616727,-3.844088331963296e-08,1.7122758124088493,1.7211577619856329,1.7212410825260547,1.7123591152073248,0.18032147789801622,-0.00041201243614289547,0.0,0.6161727693861062,-0.005774042789429367,0.0
0.48,0.0004415592448679003,0.9999999025127119,1.0,0.9999984543016814,1.7688783574072402e-06,0.0017582352285338988,-1.5458257612360003e-09,0.004412850340614765,-1.9485350540743106e-06,0.0,5.526082948562059e-05,0.019643938209737956,-3.0956729678728295e-09,0.03449673514850041,-3.470560763138807e-05,0.0,0.0007392583782293312,0.06342636895124154,-5.15095568037846e-08,1.7122234252950983,1.7211932565265944,1.7212978153272747,1.7123279603221369,0.19270829197374192,-0.0005417791719260418,0.0,0.6222757359526723,-0.007246425761861528,0.0
0.5,0.0005369766985091651,0.9999998558280022,1.0,0.999998077169617,2.400713242993384e-06,0.0019610332239838875,-2.3385765579303647e-09,0.00514215811404045,-2.761219485380085e-06,0.0,7.177599342265537e-05,0.02091753376008197,-4.284238631173169e-09,0.03847569380129513,-4.710235551523479e-05,0.0,0.0009179364251581942,0.0639071896916997,-6.806094691025451e-08,1.7121793833977548,1.7212172091309408,1.7213470406388254,1.7123091834928943,0.20520332131202215,-0.0007037341968608325,0.0,0.6270007823350588,-0.008998589271283247,0.0
0.52,0.0006477927890861705,0.9999997901822292,1.0,0.9999976311746513,3.2165363514851634e-06,0.0021766108379784152,-3.4763806595161167e-09,0.005953549916189834,-3.85666751436973e-06,0.0,9.217901380631296e-05,0.02219937145870801,-5.844102521502392e-09,0.042705408126116645,-6.310904015892673e-05,0.0,0.0011287392279435676,0.0642513140379556,-8.877433546053094e-08,1.7121432092089994,1.7212296966939669,1.721389344994459,1.7123028165367207,0.21777939502742072,-0.0009038231784305146,0.0,0.6303865752739615,-0.01106588573656155,0.0
0.54,0.0007756994474897041,0.9999996991451383,1.0,0.9999971078854657,4.258555628133948e-06,0.002405036916358714,-5.08459237928334e-09,0.006852055296475353,-5.3151371067296705e-06,0.0,0.00011715009771723254,0.023486756152789865,-7.8659603889982e-09,0.04718723371158117,-8.355382629285431e-05,0.0,0.0013754755353946374,0.06446260904633301,-1.1441087001972397e-07,1.7121144179589871,1.7212307811545369,1.721425329146605,1.7123089131460383,0.23041011036778478,-0.0011487192772446195,0.0,0.6324712563657747,-0.013485693371962301,0.0
0.56,0.0009224894317664042,0.9999995745065337,1.0,0.9999964983842813,5.576168040238831e-06,0.002646353733456513,-7.325625266069463e-09,0.007842725686204388,-7.2348346401413385e-06,0.0,0.0001474475890377714,0.024777069463196882,-1.0456566722080645e-08,0.05192200568298571,-0.00010940594660206732,0.0,0.0016621477385857896,0.06454488440054279,-1.4581556150891662e-07,1.712092518594141,1.7212205100347193,1.721455606835282,1.7123275480952138,0.243069821894682,-0.0014458624746336263,0.0,0.6332924095174656,-0.016297294005967175,0.0
0.58,0.0010900566616699806,0.9999994058880607,1.0,0.9999957932893869,7.22675983753577e-06,0.0029005777534500533,-1.0407502708914426e-08,0.00893062414001992,-9.734892120315093e-06,0.0,0.00018391169959250001,0.026067768601725914,-1.3740424014591114e-08,0.05691005373460258,-0.00014179140972780065,0.0,0.00199293733084354,0.0645018887736392,-1.8391828986928705e-07,1.7120770149083708,1.7211989170562823,1.721480803348534,1.712358816315258,0.2557336299585583,-0.0018034962584764815,0.0,0.6328870228775845,-0.01954173123184306,0.0
0.6,0.0012803963510320839,0.9999991802922562,1.0,0.9999949827815393,9.276542598751922e-06,0.0031677003795037065,-1.4593828308456272e-08,0.010120815375629432,-1.2958665698743958e-05,0.0,0.00022746793008404756,0.027356385109730826,-1.7861481529201782e-08,0.06215121692346972,-0.00018200941235013268,0.0,0.0023721884459382103,0.06433730559562145,-2.2973373344260137e-07,1.712067406825557,1.7211660228246424,1.7215015538782923,1.7124028318482538,0.26837736835300896,-0.0022307012830186856,0.0,0.6312914447325166,-0.02326164981955208,0.0
0.62,0.0014956049438697339,0.9999988815823005,1.0,0.99999405663405,1.1801421771082597e-05,0.003447688689850591,-2.0215311731466428e-08,0.011418356106879439,-1.7077368943945743e-05,0.0,0.0002791301434128211,0.028640523505722177,-2.2984821297464554e-08,0.06764485820701811,-0.0002315493911507618,0.0,0.002804389578674578,0.06405474817341959,-2.8436015133334956e-07,1.7120631918309812,1.7211218355704394,1.7215185016765495,1.7124597266939445,0.2809775910224842,-0.0027374256380195616,0.0,0.628541332873205,-0.027501117415014226,0.0
0.64,0.0017378798600437087,0.9999984898856558,1.0,0.9999930042463487,1.4887894045640684e-05,0.0037404861598484542,-2.7682984724003852e-08,0.012828285664854392,-2.2294052962407037e-05,0.0,0.0003400032551415226,0.029917859828477444,-2.92983078273987e-08,0.07338987870426782,-0.00029210864337255636,0.0,0.0032941536006323943,0.06365775411221707,-3.48976962762314e-07,1.7120638665487473,1.7210663519385825,1.7215322960176211,1.7125296495614957,0.2935115576881026,-0.0033345113839284655,0.0,0.6246715969634603,-0.03230542963438793,0.0
0.66,0.0020095190561715865,0.9999979809145431,1.0,0.9999918146807966,1.8633969570745938e-05,0.0040460133688997235,-3.750323903523442e-08,0.014355616901245403,-2.8847943972615675e-05,0.0,0.00041128550819422016,0.031186140061191667,-3.701417702642986e-08,0.07938473165752541,-0.0003656104380527776,0.0,0.003846196190951948,0.06314977899047891,-4.2484108322960077e-07,1.712068928461681,1.720999557814504,1.7215435899731875,1.712612764539864,0.30595721824719974,-0.004033717032639501,0.0,0.6197163334769468,-0.03772089972833392,0.0
0.68,0.0023129204073792523,0.9999973251960173,1.0,0.9999904767025065,2.3150114687697765e-05,0.00436416869097767,-5.0294813120926035e-08,0.016005327367743395,-3.7019147314602024e-05,0.0,0.0004942703013378424,0.03244317842132308,-4.6370539207222224e-08,0.08562743606854481,-0.0004542225338366457,0.0,0.0044653128078012356,0.06253418924534668,-5.132819937882421e-07,1.7120778777695274,1.7209214291773554,1.7215530380075947,1.7127092497003849,0.3182931957940405,-0.004847735677430109,0.0,0.61370875281617,-0.04379463404458647,0.0
